Player	Deck	Date Played	Won (Y/N)	Game Number
Jaxon	Miiryn Dragons	15/10/2024	No	31
Nic	Baeloth Goad	15/10/2024	No	32
Ben	Revenant Recon	15/10/2024	Yes	32
Dante	Draconic Dissent	15/10/2024	No	32
Ashe	Vito Vampires	15/10/2024	No	32
Jaxon	Miiryn Dragons	15/10/2024	No	32
Nic	Abaddon Demon Cascade	17/10/2024	No	33
Ben	Quick Draw	17/10/2024	No	33
Dante	Graveyard Overdrive	17/10/2024	No	33
Jaxon	Miiryn Dragons	17/10/2024	Yes	33
Nic	Lynde Curse	17/10/2024	No	34
Ben	Quick Draw	17/10/2024	No	34
Dante	Graveyard Overdrive	17/10/2024	Yes	34
Jaxon	Miiryn Dragons	17/10/2024	No	34
Nic	Abaddon Demon Cascade	20/10/2024	No	35
Ben	Mishra's Burnished Banner	20/10/2024	No	35
Otis	Creative Energy	20/10/2024	Yes	35
Dante	Graveyard Overdrive	20/10/2024	No	35
Nic	Abaddon Demon Cascade	20/10/2024	No	36
Ben	Quick Draw	20/10/2024	No	36
Otis	Mutant Menace	20/10/2024	No	36
Dante	Graveyard Overdrive	20/10/2024	Yes	36
Nic	Omo Landwalk	21/10/2024	Yes	37
Ashe	Peace Offering	21/10/2024	No	37
Ben	Revenant Recon	21/10/2024	No	37
Jaxon	Miiryn Dragons	21/10/2024	No	37
Nic	Abaddon Demon Cascade	23/10/2024	No	38
Ben	Rograkh Equipment	23/10/2024	Yes	38
Ashe	Vito Vampires	23/10/2024	No	38
Nic	Abaddon Demon Cascade	23/10/2024	Yes	39
Ben	Quick Draw	23/10/2024	No	39
Ashe	Vito Vampires	23/10/2024	No	39
Nic	Omo Landwalk	23/10/2024	No	40
Ben	Quick Draw	23/10/2024	No	40
Ashe	Vito Vampires	23/10/2024	Yes	40
Nic	Omo Landwalk	23/10/2024	No	41
Ben	Quick Draw	23/10/2024	Yes	41
Ashe	Vito Vampires	23/10/2024	No	41
Nic	Lynde Curse	24/10/2024	No	42
Ben	Eldrazi Incursion	24/10/2024	No	42
Dante	Graveyard Overdrive	24/10/2024	Yes	42
Jaxon	Miiryn Dragons	24/10/2024	No	42
Nic	Baeloth Goad	24/10/2024	No	43
Ben	Rograkh Equipment	24/10/2024	Yes	43
Dante	Draconic Dissent	24/10/2024	No	43
Jaxon	Miiryn Dragons	24/10/2024	No	43
Nic	Lynde Curse	26/10/2024	No	44
Ashe	Vito Vampires	26/10/2024	No	44
Ollie	Coven Counters	26/10/2024	No	44
Hugh	Jumpscare	26/10/2024	No	44
Ben	Revenant Recon	26/10/2024	Yes	44
Nic	Abaddon Demon Cascade	26/10/2024	No	45
Ashe	Vito Vampires	26/10/2024	Yes	45
Ollie	Peace Offering	26/10/2024	No	45
Hugh	Jumpscare	26/10/2024	No	45
Ben	Rograkh Equipment	26/10/2024	No	45
Nic	Jumpscare	26/10/2024	No	46
Ashe	Vito Vampires	26/10/2024	No	46
Ben	Rograkh Equipment	26/10/2024	Yes	46
Ollie	Peace Offering	26/10/2024	No	46
Nic	Lynde Curse	28/10/2024	No	47
Ben	Eldrazi Incursion	28/10/2024	No	47
Jaxon	Miiryn Dragons	28/10/2024	Yes	47
Ashe	Minn Illusions	28/10/2024	No	47
Dante	Draconic Dissent	28/10/2024	No	47
Nic	Baeloth Goad	28/10/2024	No	48
Ben	Voja Elves	28/10/2024	No	48
Jaxon	Miiryn Dragons	28/10/2024	No	48
Ashe	Vito Vampires	28/10/2024	Yes	48
Dante	Graveyard Overdrive	28/10/2024	No	48
Nic	Abaddon Demon Cascade	30/10/2024	No	49
Ben	Quick Draw	30/10/2024	No	49
Ashe	Minn Illusions	30/10/2024	No	49
Hugh	Jumpscare	30/10/2024	No	49
Nic	Baeloth Goad	1/11/2024	Yes	50
Ashe	Minn Illusions	1/11/2024	No	50
Ollie	Peace Offering	1/11/2024	No	50
Jaxon	Hogaak Graveyard	1/11/2024	No	50
Otis	Creative Energy	1/11/2024	No	50
Ben	Rograkh Equipment	1/11/2024	No	50
Nic	Sauron Army	2/11/2024	No	51
Ben	Quick Draw	2/11/2024	Yes	51
Jaxon	Hogaak Graveyard	2/11/2024	No	51
Ashe	Minn Illusions	2/11/2024	No	51
Nic	Lynde Curse	3/11/2024	Yes	52
Ben	Revenant Recon	3/11/2024	No	52
Hugh	Miracle Worker	3/11/2024	No	52
Ashe	Minn Illusions	3/11/2024	No	52
Nic	Omo Landwalk	3/11/2024	No	53
Ben	Quick Draw	3/11/2024	Yes	53
Hugh	Miracle Worker	3/11/2024	No	53
Ashe	Minn Illusions	3/11/2024	No	53
Nic	Abaddon Demon Cascade	6/11/2024	No	54
Al	Mutant Menace	6/11/2024	No	54
Ben	Quick Draw	6/11/2024	Yes	54
Nic	Abaddon Demon Cascade	9/11/2024	No	55
Ben	Voja Elves	9/11/2024	Yes	55
Ashe	The Most Dangerous Gamer Attractions	9/11/2024	No	55
Jaxon	Hogaak Graveyard	9/11/2024	No	55
Nic	Baeloth Goad	9/11/2024	No	56
Ben	Eldrazi Incursion	9/11/2024	Yes	56
Ashe	The Most Dangerous Gamer Attractions	9/11/2024	No	56
